  QueueTimes | ServiceTimes | SojournTimes
       0.154 |        0.036 |        0.190
       0.033 |        0.031 |        0.064
       0.165 |        0.065 |        0.230
       0.055 |        0.039 |        0.094
       0.077 |        0.111 |        0.188
       0.072 |        0.053 |        0.125
       0.037 |        0.032 |        0.069
       0.004 |        0.051 |        0.056
       0.053 |        0.031 |        0.084
       0.190 |        0.045 |        0.235
       0.213 |        0.044 |        0.256
       0.141 |        0.038 |        0.179
       0.053 |        0.056 |        0.109
       0.069 |        0.053 |        0.122
       0.067 |        0.071 |        0.138
       0.155 |        0.051 |        0.206
       0.160 |        0.034 |        0.194
       0.077 |        0.057 |        0.134
       0.068 |        0.050 |        0.118
       0.053 |        0.031 |        0.083
       0.053 |        0.052 |        0.105
       0.053 |        0.047 |        0.100
       0.169 |        0.033 |        0.202
       0.053 |        0.057 |        0.111
       0.053 |        0.032 |        0.085
       0.053 |        0.046 |        0.098
       0.052 |        0.034 |        0.087
       0.069 |        0.065 |        0.134
       0.067 |        0.072 |        0.138
       0.067 |        0.064 |        0.131
       0.067 |        0.048 |        0.115
       0.053 |        0.049 |        0.101
       0.124 |        0.028 |        0.152
       0.147 |        0.043 |        0.190
       0.094 |        0.030 |        0.124
       0.003 |        0.050 |        0.053
       0.164 |        0.038 |        0.202
       0.053 |        0.108 |        0.161
       0.165 |        0.033 |        0.199
       0.079 |        0.114 |        0.193
       0.071 |        0.041 |        0.112
       0.053 |        0.048 |        0.101
       0.052 |        0.165 |        0.217
       0.177 |        0.026 |        0.203
       0.167 |        0.134 |        0.302
       0.243 |        0.049 |        0.292
       0.062 |        0.031 |        0.092
